run_at,run_id,factor,cost_bp,sharpe,cagr,max_drawdown,turnover_pa,days,passed_stressed,params,n_symbols,data_start,data_end,sealed_from,code_hash,git_rev
2026-09-22T13:28:18+00:00,csm-2022-01-01_2026-06-30-473e96bb13,csm,10.0,0.3817,0.0421,-0.8159,11.26,1338,False,"{""hold"": 5}",20,2022-01-01,2026-06-30,2025-08-31,2f04b2e50658f0af,d7024b4
2026-09-22T13:28:18+00:00,csm-2022-01-01_2026-06-30-473e96bb13,csm,20.0,0.3639,0.0305,-0.8198,11.26,1338,False,"{""hold"": 5}",20,2022-01-01,2026-06-30,2025-08-31,2f04b2e50658f0af,d7024b4
2026-09-22T13:28:31+00:00,tsm-2022-01-01_2026-06-30-97fa026a02,tsm,10.0,0.2111,-0.0036,-0.5908,14.25,1338,False,{},20,2022-01-01,2026-06-30,2025-08-31,2f04b2e50658f0af,d7024b4
2026-09-22T13:28:31+00:00,tsm-2022-01-01_2026-06-30-97fa026a02,tsm,20.0,0.1785,-0.0177,-0.6011,14.25,1338,False,{},20,2022-01-01,2026-06-30,2025-08-31,2f04b2e50658f0af,d7024b4
2026-09-22T13:28:38+00:00,funding-2022-01-01_2026-06-30-83cf629250,funding,10.0,-0.3307,-0.1444,-0.7114,37.49,1323,False,{},20,2022-01-01,2026-06-30,2025-08-31,2f04b2e50658f0af,d7024b4
2026-09-22T13:28:38+00:00,funding-2022-01-01_2026-06-30-83cf629250,funding,20.0,-0.4485,-0.1760,-0.7541,37.49,1323,False,{},20,2022-01-01,2026-06-30,2025-08-31,2f04b2e50658f0af,d7024b4
2026-09-22T13:28:51+00:00,csm-2022-01-01_2026-06-30-473e96bb13,csm,10.0,0.3817,0.0421,-0.8159,11.26,1338,False,"{""hold"": 5}",20,2022-01-01,2026-06-30,2025-08-31,2f04b2e50658f0af,d7024b4
2026-09-22T13:28:51+00:00,csm-2022-01-01_2026-06-30-473e96bb13,csm,20.0,0.3639,0.0305,-0.8198,11.26,1338,False,"{""hold"": 5}",20,2022-01-01,2026-06-30,2025-08-31,2f04b2e50658f0af,d7024b4
2026-09-22T13:29:12+00:00,csm-2022-01-01_2026-06-30-473e96bb13,csm,10.0,0.3817,0.0421,-0.8159,11.26,1338,False,"{""hold"": 5}",20,2022-01-01,2026-06-30,2025-08-31,2f04b2e50658f0af,d7024b4
2026-09-22T13:29:12+00:00,csm-2022-01-01_2026-06-30-473e96bb13,csm,20.0,0.3639,0.0305,-0.8198,11.26,1338,False,"{""hold"": 5}",20,2022-01-01,2026-06-30,2025-08-31,2f04b2e50658f0af,d7024b4
